size_bytes;birth_epoch;birth;mtime_epoch;mtime;path
465488;1766391015;2025-12-22 09:10:15.178582604 +0100;1766296770;2025-12-21 06:59:30.000000000 +0100;./releases/Livre_blanc_v4_Publishable.pdf
19857;1766391015;2025-12-22 09:10:15.177582521 +0100;1766393219;2025-12-22 09:46:59.044542377 +0100;./.vscode/settings.json
484;1766392991;2025-12-22 09:43:11.665139538 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/templates/tables.tex
87;1766393021;2025-12-22 09:43:41.207306446 +0100;1766393021;2025-12-22 09:43:41.207306446 +0100;./whitepaper/src/version.tex
10084;1766391015;2025-12-22 09:10:15.173582191 +0100;1766393017;2025-12-22 09:43:37.453454187 +0100;./whitepaper/src/main.tex
806;1766392991;2025-12-22 09:43:11.619156501 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/styles/rbk.sty
7761;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/11_capstones.tex
6138;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/12_business_plan.tex
12159;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/10_fiches_metiers.tex
6295;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/17_fiches_metiers_bis.tex
4889;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302472;2025-12-21 08:34:32.000000000 +0100;./whitepaper/src/chapters/06_syllabus_tronc_commun.tex
7171;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/13_marketing.tex
853;1766392991;2025-12-22 09:43:11.571174201 +0100;1766298088;2025-12-21 07:21:28.000000000 +0100;./whitepaper/src/chapters/annexe_o_competences.tex
1704;1766392991;2025-12-22 09:43:11.571174201 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/annexe_d_audit.tex
2195;1766392991;2025-12-22 09:43:11.570174570 +0100;1766298088;2025-12-21 07:21:28.000000000 +0100;./whitepaper/src/chapters/17_impact_odd.tex
5956;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/18_marketing_bis.tex
7432;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/07_soft_skills.tex
880;1766392991;2025-12-22 09:43:11.571174201 +0100;1766298088;2025-12-21 07:21:28.000000000 +0100;./whitepaper/src/chapters/annexe_p_crise.tex
6942;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/09_track_evm.tex
6919;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/03_arbitrage.tex
3221;1766392991;2025-12-22 09:43:11.571174201 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/annexe_b_finance.tex
7199;1766392991;2025-12-22 09:43:11.569174938 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/02_contexte.tex
6145;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/19_risques_bis.tex
